,id,created_at,favorite_count,retweet_count,text,extended_tweet,source,coordinates,screen_name,created_at.1,followers_count,verified
552,1228617461156597761,Sat Feb 15 09:50:04 +0000 2020,0,0,"Zein Ali, an international student from Syria, exited the Nanjing Yuejianglou Police Station, as he left an envelop… https://t.co/lvvVBR2r8L","Zein Ali, an international student from Syria, exited the Nanjing Yuejianglou Police Station, as he left an envelope with 1,000 yuan, some snacks and a letter in which he expressed his support to the front-line staff in fighting against the novel #coronavirus pneumonia outbreak. https://t.co/WL4euXv3Mb","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,loveJiangsu,Thu Jan 08 06:49:54 +0000 2015,78046,True
553,1228617461794312192,Sat Feb 15 09:50:04 +0000 2020,0,0,Academic stands by research querying Indonesia’s claim to be coronavirus-free https://t.co/Gfu4HxtKBQ,,"<a href=""https://github.com/vando/news2tw"" rel=""nofollow"">news2tw</a>",,r__worldnews,Fri Dec 29 19:18:05 +0000 2017,246,False
554,1228617462524076033,Sat Feb 15 09:50:04 +0000 2020,0,0,Canada –  The coronavirus crisis is driving a sudden thaw in Canada-China relations | CBC News https://t.co/1RhNo9ycxw,,"<a href=""https://teles-relay.com"" rel=""nofollow"">teles-relay.com</a>",,TelesphoreTeta,Mon Aug 08 16:37:15 +0000 2011,343,False
555,1228617469394374657,Sat Feb 15 09:50:05 +0000 2020,0,0,@spectatorindex BREAKING: 8 new cases of coronavirus in Japan,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,TheMrnass,Thu Dec 26 15:39:34 +0000 2013,797,False
556,1228617470598098944,Sat Feb 15 09:50:06 +0000 2020,0,0,"Am I the only one who sees this takedown as being riddled with errors, logical fallacies, and bad faith misundersta… https://t.co/mQwnv1U1Iu","Am I the only one who sees this takedown as being riddled with errors, logical fallacies, and bad faith misunderstanding of the original piece? This. Is. Not. A. Good. Take.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,sbilstein,Tue Feb 14 06:41:27 +0000 2017,193,False
557,1228617470065463296,Sat Feb 15 09:50:06 +0000 2020,0,0,"@SkyNews Organ failure , yes..
Because this is a new virus our body has difficulties getting rid of it completely s… https://t.co/oP9eQPgPAQ","@SkyNews Organ failure , yes..
Because this is a new virus our body has difficulties getting rid of it completely so it lingers for a long long time. Not even symptomatic in some. Eventually your body's immune system can't cope any more after sometimes weeks of struggle, then it strikes.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,Phoenixxl,Sat Jan 24 12:40:12 +0000 2009,96,False
558,1228617474590986241,Sat Feb 15 09:50:07 +0000 2020,0,0,We further show that quarantine and contact tracing of symptomatic individuals alone may not be effective and early… https://t.co/bN14nVa3xG,"We further show that quarantine and contact tracing of symptomatic individuals alone may not be effective and early, strong control measures are needed to stop transmission of the virus.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,yoshinobu0725,Wed Nov 16 12:39:44 +0000 2011,15,False
559,1228617477971742722,Sat Feb 15 09:50:08 +0000 2020,0,0,sweet baby,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,muhamma03773831,Thu Oct 03 20:28:32 +0000 2019,75,False
560,1228617481041870849,Sat Feb 15 09:50:08 +0000 2020,0,0,"AIRPORT - No case of coronavirus  at airport, says COO    https://t.co/qVAPWxJgYQ",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,sxm_news,Sat Aug 23 14:06:53 +0000 2014,1460,False
561,1228617485923975168,Sat Feb 15 09:50:09 +0000 2020,0,0,@sweposten @RashtraSanyukt @Anas_speakss @Deep4IND @mujworld @BeingHo30344505 @ravinan30310294 @scrapravi… https://t.co/NNx2ndNiz4,@sweposten @RashtraSanyukt @Anas_speakss @Deep4IND @mujworld @BeingHo30344505 @ravinan30310294 @scrapravi @Tamil1947 @ParveenKader @sunilddesai @aayeff1 @tahiryasini @nehasamee11 @PoliticalDi @deepak1953 @watdehel @manojfaridabad @ayazalladin @WuntakalL @HarrisD63432503 @judedavid21 @Vineets28931144 @ranajig @hi_pathfinders @IchbinUjjaini @peaceqt @siddiq_mifra @Tapan_999 @EmpoweringGoa @ShababRabbani1 @Mr_Singh86_ @ehansari @KrittikaDas6 @shenaz_irani @RehmanQurat @LetusdiscussM @chandinibhatt @kukk44 @meeaaoow_rupal @joytrichur @FriendlyPhysio @DesiStupides @tarun_k_trivedi @kirti_sd @iScrew @Nikhil_P_B @ccfx135 MOTI virus is screaming and scowling in every street.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,dennisckurian,Tue Jul 20 08:29:23 +0000 2010,1097,False
562,1228617495365537792,Sat Feb 15 09:50:12 +0000 2020,0,0,"Someone or some people somewhere out there are trying really hard to wipe out the world.

HIV/AIDS
SARS
Ebola
Coron… https://t.co/3PO1fn6Hop","Someone or some people somewhere out there are trying really hard to wipe out the world.

HIV/AIDS
SARS
Ebola
Coronavirus

These infections were likely developed in a lab.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,jaayjaey,Thu Aug 04 21:50:44 +0000 2016,1616,False
563,1228617495621160960,Sat Feb 15 09:50:12 +0000 2020,0,0,"@DrEricDing which makes the fatality rate 20x lower !!  

so many have tested positive feel fine or barely have symptoms...",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,skboz,Mon Jul 25 08:09:51 +0000 2016,425,False
564,1228617498490048513,Sat Feb 15 09:50:12 +0000 2020,0,0,"https://t.co/lL1IcMSDBs

Educate yourselves !!!
We put together a video with the last'st info on the virus and the… https://t.co/SCozvxsBBq","https://t.co/lL1IcMSDBs

Educate yourselves !!!
We put together a video with the last'st info on the virus and the unreal spread of this. PLEASE , THIS IS NOT THE FLU !!!
Don't treat it as such.
We have other videos on the channel as well
#coronavirus 
#China 
#ChinaVirus","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NicholasBurger9,Wed Dec 25 10:18:11 +0000 2019,47,False
565,1228617507143127040,Sat Feb 15 09:50:14 +0000 2020,0,0,"Gold, silver prices gain as coronavirus outbreak escalates https://t.co/gnEQVO49Cp",,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",,WorldSilverNews,Sat Mar 31 04:28:00 +0000 2018,153,False
566,1228617507373748225,Sat Feb 15 09:50:15 +0000 2020,0,0,"Gold, silver prices up as coronavirus back on the front burner https://t.co/onnFPVNZ6t",,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",,WorldSilverNews,Sat Mar 31 04:28:00 +0000 2018,153,False
567,1228617508174753792,Sat Feb 15 09:50:15 +0000 2020,0,0,"How temperature checks could aid viral distribution:

Multitude wait in line to infect temperature screening Office… https://t.co/YACORcCuc8","How temperature checks could aid viral distribution:

Multitude wait in line to infect temperature screening Officer.

Officer then contracts 🦠.

Officer then distributes 🦠 at subsequently.

Details &amp; Prevention suggestion:
https://t.co/zfNYvAiYi3

#COVID19 #COVID2019 #sarscov2","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,AlexisAnonymis,Wed Feb 12 06:28:53 +0000 2020,1,False
568,1228617509491871745,Sat Feb 15 09:50:15 +0000 2020,0,0,"AI+ NEWS * A connected world makes this coronavirus scarier, but also helps us deal with it https://t.co/6WhH57EWjZ",,"<a href=""https://spxbot.com/"" rel=""nofollow"">spxbot auto tweet</a>",,spxbot,Tue Nov 03 13:57:26 +0000 2015,64,False
569,1228617510049566720,Sat Feb 15 09:50:15 +0000 2020,0,0,"factored into that number. 

It’s been confirmed on CNBC that the virus didn’t originate in the food market, but wa… https://t.co/8Cfzgbdhso","factored into that number. 

It’s been confirmed on CNBC that the virus didn’t originate in the food market, but was brought into it and spread by people eating the animals that contracted it; such as bats. I’m still thinking that it’s a Biological weapon. #coronavirus #Corvid19","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Alyndrya,Tue Jun 28 18:47:29 +0000 2016,9,False
570,1228617510037139456,Sat Feb 15 09:50:15 +0000 2020,0,0,"#Pangolin #China #Covid-19 #Coronavirus #Cause
Pangolins identified as a possible cause of the outbreak it throws a… https://t.co/XAUyNpR0wa","#Pangolin #China #Covid-19 #Coronavirus #Cause
Pangolins identified as a possible cause of the outbreak it throws a spotlight on the awful trade in these fantastic mammals. Chinese insurers were recognising the quackery before the outbreak.
https://t.co/sNIGJDyCs5","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,ronheming,Sat Jul 20 20:25:50 +0000 2019,0,False
571,1228617511249178624,Sat Feb 15 09:50:15 +0000 2020,0,0,Another 67 People Test Positive for Coronavirus on Cruise Ship in Japan - https://t.co/AfHbOLXuqq,,"<a href=""http://greeen.info"" rel=""nofollow"">greeenorg1</a>",,greeenorg,Tue Jan 03 01:58:30 +0000 2017,2022,False
572,1228617512318685186,Sat Feb 15 09:50:16 +0000 2020,0,0,@MehreenFaruqi I think you should go and help care for those infected with corona virus to show you are not a hypoc… https://t.co/oUbMpf77iF,"@MehreenFaruqi I think you should go and help care for those infected with corona virus to show you are not a hypocrite spouting racism for purely political purposes. All talk no action is my guess, prove me wrong.","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,BillFle99636474,Wed Aug 15 03:50:08 +0000 2018,298,False
573,1228617513094672385,Sat Feb 15 09:50:16 +0000 2020,0,0,"factored into that number. 

It’s been confirmed on CNBC that the virus didn’t originate in the food market, but wa… https://t.co/p9uRoPTK1s","factored into that number. 

It’s been confirmed on CNBC that the virus didn’t originate in the food market, but was brought into it and spread by people eating the animals that contracted it; such as bats. I’m still thinking that it’s a Biological weapon. #coronavirus #Corvid19","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Alyndrya,Tue Jun 28 18:47:29 +0000 2016,9,False
574,1228617513304346624,Sat Feb 15 09:50:16 +0000 2020,0,0,My hk fam extends their vacation here for another month due to #coronavirus fear.= 3 mos here in NZ.Better safe tha… https://t.co/iCApDDUMh9,"My hk fam extends their vacation here for another month due to #coronavirus fear.= 3 mos here in NZ.Better safe than sorry. They went to Fiji for 1 day as advised by immigration.They got back this PM. Now,I'm stargazing w/ Angela &amp;  mimicking her cute Chinese accent ❤🙂👍","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Rizalenio,Tue Apr 28 17:13:12 +0000 2009,638,False
575,1228617514055356417,Sat Feb 15 09:50:16 +0000 2020,0,0,"@OldFinchleianFC I think Coronavirus, or similar, has hit @OldParksFC as they postponed four of their nine games to… https://t.co/GzGK7pDlOc","@OldFinchleianFC I think Coronavirus, or similar, has hit @OldParksFC as they postponed four of their nine games today - pre-weather interruptions!!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,AFA_Referee,Sat Nov 24 17:51:05 +0000 2012,101,False
576,1228617515896655874,Sat Feb 15 09:50:17 +0000 2020,0,0,How does #coronavirus spread and how can you protect yourself? https://t.co/drWkAajFsJ https://t.co/mlQg3jM4QF,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,AJEnglish,Tue Apr 17 08:23:08 +0000 2007,5807589,True
577,1228617516773036033,Sat Feb 15 09:50:17 +0000 2020,0,0,"A walking virus huh?   

Ok.",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,still_nico,Wed Jun 26 08:19:12 +0000 2019,86,False
578,1228617519927349248,Sat Feb 15 09:50:18 +0000 2020,0,0,Hundreds March in Hong Kong Against Potential Coronavirus Quarantine Clinics - https://t.co/mWZvziBaKU,,"<a href=""http://greeen.info"" rel=""nofollow"">greeenorg1</a>",,greeenorg,Tue Jan 03 01:58:30 +0000 2017,2023,False
579,1228617523890921474,Sat Feb 15 09:50:18 +0000 2020,0,0,God speed...,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,YS934142636,Thu Sep 05 00:51:59 +0000 2019,415,False
580,1228617526248169472,Sat Feb 15 09:50:19 +0000 2020,0,0,@GetYerYaYasOut @latenig89476392 @howroute Also- alot of scientists have been discussing other elements of the coro… https://t.co/E7bzz3Ub9m,"@GetYerYaYasOut @latenig89476392 @howroute Also- alot of scientists have been discussing other elements of the coronavirus, secondary re- infections lead to heart failure and many patients with an ambulatory response have a haemorrhagic fever like a Hanta virus. Dont think this virus is like anything seen before","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,jaybrewerton,Wed Feb 18 19:25:33 +0000 2009,109,False
581,1228617538944327681,Sat Feb 15 09:50:22 +0000 2020,0,0,Snopes at its best,,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>",,PneumoniaWuhan,Mon Jan 06 17:09:38 +0000 2020,13333,False
582,1228617540814987264,Sat Feb 15 09:50:22 +0000 2020,0,0,"@summertimin @DirectDoggo @dialtown Hey, Games Composer here, Did a scan on the games folder and it came out clean,… https://t.co/JzCRhLCgX3","@summertimin @DirectDoggo @dialtown Hey, Games Composer here, Did a scan on the games folder and it came out clean, it'll just be your anti-virus being overprotective (which is a good thing), I had something similar happen to me with Mafia III. you'll have to whitelist it in whichever anti-virus you use. https://t.co/BvPO5EQ6kQ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NHSynthonic,Thu Sep 20 17:25:49 +0000 2012,152,False
583,1228617543268499457,Sat Feb 15 09:50:23 +0000 2020,0,0,"7 new cases in Zhejiang province, China🇨🇳

(source)
https://t.co/IZOlQXDcfR

#coronavirus #COVID19 #news #update",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,jamessm22402372,Sat Dec 14 14:02:22 +0000 2019,29,False
584,1228617550117789696,Sat Feb 15 09:50:25 +0000 2020,0,0,"@kyleclements_4 Acute Conjunctivitis (sore eyes)
Community-Acquired Pneumonia 

😩",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,HarvardPH,Sun Jun 21 00:50:20 +0000 2015,130,False
585,1228617552923770882,Sat Feb 15 09:50:25 +0000 2020,0,0,"Coronavirus  infection  bookingRO9YO7 TGB7R9 (8persons) want to get a full refund
wuhan coronavirus attacks Chain h… https://t.co/mCSoyYEW6s","Coronavirus  infection  bookingRO9YO7 TGB7R9 (8persons) want to get a full refund
wuhan coronavirus attacks Chain hongkong, TAIWAN many flights have been removed from the flight chart, and our flights too have been cancelled. thus ,I can not take fly to your Spain.shuying","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,ShuyingN,Thu Apr 18 18:48:40 +0000 2019,0,False
586,1228617552911360000,Sat Feb 15 09:50:25 +0000 2020,0,0,@PoliceInspForum Is it reoffending rates for those new to the CJ system OR is it the recidivists who're being diver… https://t.co/jOTwapPOzt,@PoliceInspForum Is it reoffending rates for those new to the CJ system OR is it the recidivists who're being diverted? The other issue is that as they have to be taken to court if they breach contract the amount of police work is the same per case.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,DarkwaterDc,Thu Feb 06 18:21:42 +0000 2020,5,False
587,1228617552856637441,Sat Feb 15 09:50:25 +0000 2020,0,0,"Coronavirus: Death toll jumps past 1,500 in mainland China https://t.co/dcC3fxCiXa",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,mcsharma_25,Sun Sep 05 16:03:01 +0000 2010,4255,False
588,1228617556933607425,Sat Feb 15 09:50:26 +0000 2020,0,0,@ThePerezHilton Be nice Perez! She survived the Coronavirus in Wuhan. (may 2017 - august 2017),,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Zjblome,Tue Feb 04 08:23:10 +0000 2020,9,False
589,1228617558485417984,Sat Feb 15 09:50:27 +0000 2020,0,0,"@Channel4News @mattfrei Seeing how terribly the virus spreads from 1 person to the others so unexpectedly, I trust… https://t.co/RAFeYGm1kS","@Channel4News @mattfrei Seeing how terribly the virus spreads from 1 person to the others so unexpectedly, I trust what this gentleman said: 1% death rate is what I believed too.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,2rtyuWaADsetT6m,Tue Jul 17 13:46:06 +0000 2018,5,False
590,1228617564156239872,Sat Feb 15 09:50:28 +0000 2020,0,0,Chinese banks disinfect banknotes to stop spread of coronavirus https://t.co/qIGMdqavQH,,"<a href=""https://www.stoundi.com"" rel=""nofollow"">Global Analytica</a>",,AnalyticaGlobal,Tue Feb 24 16:56:10 +0000 2015,2123,False
591,1228617564227592192,Sat Feb 15 09:50:28 +0000 2020,0,0,WHO says joint China mission to start coronavirus probe this weekend https://t.co/PalsFsaNpI,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,RoVerHouses,Thu Aug 13 13:26:44 +0000 2009,69,False
